assay,std_type,SMILES,std_value,std_units,standard_relation,molecule_chembl_id,activity_type,structure_curated,substance_type_name,pIC50
Inhibition of HFIP-pretreated amyloid beta (1 to 42) (unknown origin) self-induced aggregation incubated for 24 hrs under dark condition by thioflavin-T based fluorometric assay,IC50,O=c1cc(/C=C/c2cccc(F)c2)[nH]cc1O,18970.0,nM,=,CHEMBL4059796,inactive,O=c1cc(/C=C/c2cccc(F)c2)[nH]cc1O,organic,4.721932669111338
Inhibition of HFIP-pretreated amyloid beta (1 to 42) (unknown origin) self-induced aggregation incubated for 24 hrs under dark condition by thioflavin-T based fluorometric assay,IC50,Cn1cc(O)c(=O)cc1/C=C/c1cccc(F)c1,19440.0,nM,=,CHEMBL4077009,inactive,Cn1cc(O)c(=O)cc1/C=C/c1cccc(F)c1,organic,4.711303739409744
Inhibition of HFIP-pretreated amyloid beta (1 to 42) (unknown origin) self-induced aggregation incubated for 24 hrs under dark condition by thioflavin-T based fluorometric assay,IC50,CN(C)c1ccc(/C=C/c2cc(=O)c(O)c[nH]2)cc1,29220.0,nM,=,CHEMBL4092433,inactive,CN(C)c1ccc(/C=C/c2cc(=O)c(O)c[nH]2)cc1,organic,4.534319788401722
Inhibition of HFIP-pretreated amyloid beta (1 to 42) (unknown origin) self-induced aggregation incubated for 24 hrs under dark condition by thioflavin-T based fluorometric assay,IC50,CCOc1ccc(/C=C/c2cc(=O)c(O)c[nH]2)cc1,23390.0,nM,=,CHEMBL4074429,inactive,CCOc1ccc(/C=C/c2cc(=O)c(O)c[nH]2)cc1,organic,4.630969778190847
Inhibition of HFIP-pretreated amyloid beta (1 to 42) (unknown origin) self-induced aggregation incubated for 24 hrs under dark condition by thioflavin-T based fluorometric assay,IC50,CCOc1ccc(/C=C/c2cc(=O)c(O)cn2C)cc1,8940.0,nM,=,CHEMBL4097746,active,CCOc1ccc(/C=C/c2cc(=O)c(O)cn2C)cc1,organic,5.048662481204082
Inhibition of HFIP-pretreated amyloid beta (1 to 42) (unknown origin) self-induced aggregation incubated for 24 hrs under dark condition by thioflavin-T based fluorometric assay,IC50,COc1ccccc1/C=C/c1cc(=O)c(O)c[nH]1,16500.0,nM,=,CHEMBL4070599,inactive,COc1ccccc1/C=C/c1cc(=O)c(O)c[nH]1,organic,4.782516055786093
Inhibition of HFIP-pretreated amyloid beta (1 to 42) (unknown origin) self-induced aggregation incubated for 24 hrs under dark condition by thioflavin-T based fluorometric assay,IC50,COc1ccccc1/C=C/c1cc(=O)c(O)cn1C,12480.0,nM,=,CHEMBL4086825,inactive,COc1ccccc1/C=C/c1cc(=O)c(O)cn1C,organic,4.903785414653595
Inhibition of HFIP-pretreated amyloid beta (1 to 42) (unknown origin) self-induced aggregation incubated for 24 hrs under dark condition by thioflavin-T based fluorometric assay,IC50,O=c1cc(/C=C/c2ccc(O)cc2)[nH]cc1O,10720.0,nM,=,CHEMBL4074006,inactive,O=c1cc(/C=C/c2ccc(O)cc2)[nH]cc1O,organic,4.969805214643249
Inhibition of HFIP-pretreated amyloid beta (1 to 42) (unknown origin) self-induced aggregation incubated for 24 hrs under dark condition by thioflavin-T based fluorometric assay,IC50,Cn1cc(O)c(=O)cc1/C=C/c1ccc(O)cc1,15380.0,nM,=,CHEMBL4068105,inactive,Cn1cc(O)c(=O)cc1/C=C/c1ccc(O)cc1,organic,4.813043664534588
Inhibition of HFIP-pretreated amyloid beta (1 to 42) (unknown origin) self-induced aggregation incubated for 24 hrs under dark condition by thioflavin-T based fluorometric assay,IC50,O=c1cc(/C=C/c2ccccc2O)[nH]cc1O,21760.0,nM,=,CHEMBL4095488,inactive,O=c1cc(/C=C/c2ccccc2O)[nH]cc1O,organic,4.662341108973858
Inhibition of HFIP-pretreated amyloid beta (1 to 42) (unknown origin) self-induced aggregation incubated for 24 hrs under dark condition by thioflavin-T based fluorometric assay,IC50,Oc1ccc(/C=C/c2cc(O)cc(O)c2)cc1,11890.0,nM,=,CHEMBL165,inactive,Oc1ccc(/C=C/c2cc(O)cc(O)c2)cc1,organic,4.924818145381308
Inhibition of HFIP-pretreated amyloid beta (1 to 42) (unknown origin) self-induced aggregation incubated for 24 hrs under dark condition by thioflavin-T based fluorometric assay,IC50,COc1cc(/C=C/C(=O)CC(=O)/C=C/c2ccc(O)c(OC)c2)ccc1O,18730.0,nM,=,CHEMBL140,inactive,COc1cc(/C=C/C(=O)CC(=O)/C=C/c2ccc(O)c(OC)c2)ccc1O,organic,4.727462222624762
Inhibition of HFIP-pretreated amyloid beta (1 to 42 residues) (unknown origin) aggregation after 24 hrs by ThT fluorescence assay,IC50,c1cc2ncc(Nc3ccc4cc[nH]c4n3)cc2[nH]1,23800.0,nM,=,CHEMBL4069995,inactive,c1cc2ncc(Nc3ccc4cc[nH]c4n3)cc2[nH]1,organic,4.623423042943488
Inhibition of HFIP-pretreated amyloid beta (1 to 42 residues) (unknown origin) aggregation after 24 hrs by ThT fluorescence assay,IC50,N#Cc1c[nH]c2nc(Nc3ccc4c(C5CCNCC5)c[nH]c4c3)ccc12,17800.0,nM,=,CHEMBL4072261,inactive,N#Cc1c[nH]c2nc(Nc3ccc4c(C5CCNCC5)c[nH]c4c3)ccc12,organic,4.749579997691106
Inhibition of HFIP-pretreated amyloid beta (1 to 42 residues) (unknown origin) aggregation after 24 hrs by ThT fluorescence assay,IC50,c1cc2c(C3CCNCC3)c[nH]c2cc1Nc1ccc2[nH]cc(C3CCNCC3)c2c1,26600.0,nM,=,CHEMBL4066527,inactive,c1cc2c(C3CCNCC3)c[nH]c2cc1Nc1ccc2[nH]cc(C3CCNCC3)c2c1,organic,4.575118363368933
Inhibition of HFIP-pretreated amyloid beta (1 to 42 residues) (unknown origin) aggregation after 24 hrs by ThT fluorescence assay,IC50,c1cc2c(C3CCNCC3)c[nH]c2cc1Nc1ccc2c(C3CCNCC3)c[nH]c2n1,25600.0,nM,=,CHEMBL4104210,inactive,c1cc2c(C3CCNCC3)c[nH]c2cc1Nc1ccc2c(C3CCNCC3)c[nH]c2n1,organic,4.59176003468815
Inhibition of HFIP-pretreated amyloid beta (1 to 42 residues) (unknown origin) aggregation after 24 hrs by ThT fluorescence assay,IC50,CN1CCC(c2c[nH]c3cc(Nc4ccc5[nH]cc(C6CCN(C)CC6)c5c4)ccc23)CC1,15300.0,nM,=,CHEMBL4096474,inactive,CN1CCC(c2c[nH]c3cc(Nc4ccc5[nH]cc(C6CCN(C)CC6)c5c4)ccc23)CC1,organic,4.815308569182401
Inhibition of HFIP-pretreated amyloid beta (1 to 42 residues) (unknown origin) aggregation after 24 hrs by ThT fluorescence assay,IC50,Fc1ccc(Nc2ccc3c(C4CCNCC4)c[nH]c3c2)cc1F,24000.0,nM,=,CHEMBL4088780,inactive,Fc1ccc(Nc2ccc3c(C4CCNCC4)c[nH]c3c2)cc1F,organic,4.619788758288394
Inhibition of HFIP-pretreated amyloid beta (1 to 42 residues) (unknown origin) aggregation after 24 hrs by ThT fluorescence assay,IC50,Fc1ccc(Nc2ccc3c(C4CCNCC4)c[nH]c3n2)cc1F,30000.0,nM,=,CHEMBL4098927,inactive,Fc1ccc(Nc2ccc3c(C4CCNCC4)c[nH]c3n2)cc1F,organic,4.522878745280337
Inhibition of HFIP-pretreated amyloid beta (1 to 42 residues) (unknown origin) aggregation after 24 hrs by ThT fluorescence assay,IC50,FC(F)(F)c1ccc(Nc2ccc3c(C4CCNCC4)c[nH]c3c2)cn1,24000.0,nM,=,CHEMBL4104620,inactive,FC(F)(F)c1ccc(Nc2ccc3c(C4CCNCC4)c[nH]c3c2)cn1,organic,4.619788758288394
Inhibition of HFIP-pretreated amyloid beta (1 to 42 residues) (unknown origin) aggregation after 24 hrs by ThT fluorescence assay,IC50,CN1CCC(c2c[nH]c3cc(Nc4ccc(F)c(F)c4)ccc23)CC1,48000.0,nM,=,CHEMBL4063009,inactive,CN1CCC(c2c[nH]c3cc(Nc4ccc(F)c(F)c4)ccc23)CC1,organic,4.318758762624412
Inhibition of HFIP-pretreated amyloid beta (1 to 42 residues) (unknown origin) aggregation after 24 hrs by ThT fluorescence assay,IC50,COc1ccc(Nc2ccc3c(C4CCN(C)CC4)c[nH]c3c2)cc1OC,25000.0,nM,=,CHEMBL4084675,inactive,COc1ccc(Nc2ccc3c(C4CCN(C)CC4)c[nH]c3c2)cc1OC,organic,4.6020599913279625
Inhibition of HFIP-pretreated amyloid beta (1 to 42 residues) (unknown origin) aggregation after 24 hrs by ThT fluorescence assay,IC50,Cn1cc(C2CCNCC2)c2ccc(Nc3ccc(F)c(F)c3)cc21,42000.0,nM,=,CHEMBL4101130,inactive,Cn1cc(C2CCNCC2)c2ccc(Nc3ccc(F)c(F)c3)cc21,organic,4.376750709602099
Inhibition of HFIP-pretreated amyloid beta (1 to 42 residues) (unknown origin) aggregation after 24 hrs by ThT fluorescence assay,IC50,COc1cc(/C=C/C(=O)CC(=O)/C=C/c2ccc(O)c(OC)c2)ccc1O,9000.0,nM,=,CHEMBL140,active,COc1cc(/C=C/C(=O)CC(=O)/C=C/c2ccc(O)c(OC)c2)ccc1O,organic,5.045757490560675
Inhibition of HFIP-induced human recombinant amyloid beta (1 to 40 residues) aggregation expressed in Escherichia coli measured over 24 hrs by ThT-based fluorescence spectroscopic method,IC50,Clc1nc(NCc2ccccc2)c2ccccc2n1,16700.0,nM,=,CHEMBL118193,inactive,Clc1nc(NCc2ccccc2)c2ccccc2n1,organic,4.777283528852417
Inhibition of HFIP-induced human recombinant amyloid beta (1 to 40 residues) aggregation expressed in Escherichia coli measured over 24 hrs by ThT-based fluorescence spectroscopic method,IC50,COc1ccc(CCNc2nc(Cl)nc3ccccc23)cc1OC,8200.0,nM,=,CHEMBL4087140,active,COc1ccc(CCNc2nc(Cl)nc3ccccc23)cc1OC,organic,5.086186147616283
Inhibition of HFIP-induced human recombinant amyloid beta (1 to 40 residues) aggregation expressed in Escherichia coli measured over 24 hrs by ThT-based fluorescence spectroscopic method,IC50,Clc1nc(NCCc2ccccc2)c2ccccc2n1,5000.0,nM,=,CHEMBL4065718,active,Clc1nc(NCCc2ccccc2)c2ccccc2n1,organic,5.301029995663981
Inhibition of HFIP-induced human recombinant amyloid beta (1 to 40 residues) aggregation expressed in Escherichia coli measured over 24 hrs by ThT-based fluorescence spectroscopic method,IC50,COc1ccc(CNc2nc(NC3CCN(Cc4ccccc4)CC3)nc3ccccc23)cc1OC,2300.0,nM,=,CHEMBL4070983,active,COc1ccc(CNc2nc(NC3CCN(Cc4ccccc4)CC3)nc3ccccc23)cc1OC,organic,5.638272163982407
Inhibition of HFIP-induced human recombinant amyloid beta (1 to 40 residues) aggregation expressed in Escherichia coli measured over 24 hrs by ThT-based fluorescence spectroscopic method,IC50,COc1ccc(CCNc2ncnc3ccccc23)cc1OC,12000.0,nM,=,CHEMBL4092601,inactive,COc1ccc(CCNc2ncnc3ccccc23)cc1OC,organic,4.920818753952375
Inhibition of HFIP-induced human recombinant amyloid beta (1 to 40 residues) aggregation expressed in Escherichia coli measured over 24 hrs by ThT-based fluorescence spectroscopic method,IC50,c1ccc(CCNc2ncnc3ccccc23)cc1,11900.0,nM,=,CHEMBL117804,inactive,c1ccc(CCNc2ncnc3ccccc23)cc1,organic,4.924453038607469
Inhibition of HFIP-induced human recombinant amyloid beta (1 to 40 residues) aggregation expressed in Escherichia coli measured over 24 hrs by ThT-based fluorescence spectroscopic method,IC50,COc1ccc(CNc2nc(N=[N+]=[N-])nc3ccccc23)cc1OC,7200.0,nM,=,CHEMBL4089722,active,COc1ccc(CNc2nc(N=[N+]=[N-])nc3ccccc23)cc1OC,organic,5.142667503568732
Inhibition of HFIP-induced human recombinant amyloid beta (1 to 40 residues) aggregation expressed in Escherichia coli measured over 24 hrs by ThT-based fluorescence spectroscopic method,IC50,[N-]=[N+]=Nc1nc(NCc2ccccc2)c2ccccc2n1,2600.0,nM,=,CHEMBL4079415,active,[N-]=[N+]=Nc1nc(NCc2ccccc2)c2ccccc2n1,organic,5.585026652029182
Inhibition of HFIP-induced human recombinant amyloid beta (1 to 40 residues) aggregation expressed in Escherichia coli measured over 24 hrs by ThT-based fluorescence spectroscopic method,IC50,COc1ccc(CNc2nc(N)nc3ccccc23)cc1OC,8400.0,nM,=,CHEMBL4097449,active,COc1ccc(CNc2nc(N)nc3ccccc23)cc1OC,organic,5.075720713938118
Inhibition of HFIP-induced human recombinant amyloid beta (1 to 40 residues) aggregation expressed in Escherichia coli measured over 24 hrs by ThT-based fluorescence spectroscopic method,IC50,Nc1nc(NCc2ccccc2)c2ccccc2n1,4800.0,nM,=,CHEMBL3815078,active,Nc1nc(NCc2ccccc2)c2ccccc2n1,organic,5.318758762624412
Inhibition of HFIP-induced human recombinant amyloid beta (1 to 40 residues) aggregation expressed in Escherichia coli measured over 24 hrs by ThT-based fluorescence spectroscopic method,IC50,COc1ccc(CCNc2nc(N)nc3ccccc23)cc1OC,2700.0,nM,=,CHEMBL4071318,active,COc1ccc(CCNc2nc(N)nc3ccccc23)cc1OC,organic,5.568636235841013
Inhibition of HFIP-induced human recombinant amyloid beta (1 to 40 residues) aggregation expressed in Escherichia coli measured over 24 hrs by ThT-based fluorescence spectroscopic method,IC50,Nc1nc(NCCc2ccccc2)c2ccccc2n1,7800.0,nM,=,CHEMBL3814123,active,Nc1nc(NCCc2ccccc2)c2ccccc2n1,organic,5.107905397309519
Inhibition of HFIP-induced human recombinant amyloid beta (1 to 40 residues) aggregation expressed in Escherichia coli measured over 24 hrs by ThT-based fluorescence spectroscopic method,IC50,COc1ccc(CNc2nc(O)nc3ccccc23)cc1OC,7800.0,nM,=,CHEMBL4081859,active,COc1ccc(CNc2nc(O)nc3ccccc23)cc1OC,organic,5.107905397309519
Inhibition of HFIP-induced human recombinant amyloid beta (1 to 40 residues) aggregation expressed in Escherichia coli measured over 24 hrs by ThT-based fluorescence spectroscopic method,IC50,Oc1nc(NCc2ccccc2)c2ccccc2n1,270.0,nM,=,CHEMBL4082825,active,Oc1nc(NCc2ccccc2)c2ccccc2n1,organic,6.568636235841013
Inhibition of HFIP-induced human recombinant amyloid beta (1 to 40 residues) aggregation expressed in Escherichia coli measured over 24 hrs by ThT-based fluorescence spectroscopic method,IC50,COc1ccc(CCNc2nc(O)nc3ccccc23)cc1OC,10400.0,nM,=,CHEMBL4100806,inactive,COc1ccc(CCNc2nc(O)nc3ccccc23)cc1OC,organic,4.982966660701219
Inhibition of HFIP-induced human recombinant amyloid beta (1 to 40 residues) aggregation expressed in Escherichia coli measured over 24 hrs by ThT-based fluorescence spectroscopic method,IC50,Oc1nc(NCCc2ccccc2)c2ccccc2n1,11200.0,nM,=,CHEMBL4096595,inactive,Oc1nc(NCCc2ccccc2)c2ccccc2n1,organic,4.950781977329818
Inhibition of HFIP-induced human recombinant amyloid beta (1 to 40 residues) aggregation expressed in Escherichia coli measured over 24 hrs by ThT-based fluorescence spectroscopic method,IC50,Nc1nc(NCc2ccccc2)nc2ccccc12,2200.0,nM,=,CHEMBL3814134,active,Nc1nc(NCc2ccccc2)nc2ccccc12,organic,5.657577319177793
Inhibition of HFIP-induced human recombinant amyloid beta (1 to 40 residues) aggregation expressed in Escherichia coli measured over 24 hrs by ThT-based fluorescence spectroscopic method,IC50,Nc1nc(NCCc2ccccc2)nc2ccccc12,14900.0,nM,=,CHEMBL3814610,inactive,Nc1nc(NCCc2ccccc2)nc2ccccc12,organic,4.826813731587726
Inhibition of HFIP-induced human recombinant amyloid beta (1 to 40 residues) aggregation expressed in Escherichia coli measured over 24 hrs by ThT-based fluorescence spectroscopic method,IC50,COc1ccc(CNc2nc(NC(N)=O)nc3ccccc23)cc1OC,8300.0,nM,=,CHEMBL4060687,active,COc1ccc(CNc2nc(NC(N)=O)nc3ccccc23)cc1OC,organic,5.080921907623926
Inhibition of HFIP-induced human recombinant amyloid beta (1 to 40 residues) aggregation expressed in Escherichia coli measured over 24 hrs by ThT-based fluorescence spectroscopic method,IC50,NC(=O)Nc1nc(NCc2ccccc2)c2ccccc2n1,13300.0,nM,=,CHEMBL4081013,inactive,NC(=O)Nc1nc(NCc2ccccc2)c2ccccc2n1,organic,4.876148359032914
Inhibition of HFIP-induced human recombinant amyloid beta (1 to 40 residues) aggregation expressed in Escherichia coli measured over 24 hrs by ThT-based fluorescence spectroscopic method,IC50,COc1ccc(CCNc2nc(NC(N)=O)nc3ccccc23)cc1OC,14400.0,nM,=,CHEMBL4099046,inactive,COc1ccc(CCNc2nc(NC(N)=O)nc3ccccc23)cc1OC,organic,4.841637507904751
Inhibition of HFIP-induced human recombinant amyloid beta (1 to 40 residues) aggregation expressed in Escherichia coli measured over 24 hrs by ThT-based fluorescence spectroscopic method,IC50,NC(=O)Nc1nc(NCCc2ccccc2)c2ccccc2n1,1000.0,nM,=,CHEMBL4070380,active,NC(=O)Nc1nc(NCCc2ccccc2)c2ccccc2n1,organic,6.0
Inhibition of HFIP-induced human recombinant amyloid beta (1 to 40 residues) aggregation expressed in Escherichia coli measured over 24 hrs by ThT-based fluorescence spectroscopic method,IC50,COc1ccc(CNc2nc(NC(C)=O)nc3ccccc23)cc1OC,3100.0,nM,=,CHEMBL4091317,active,COc1ccc(CNc2nc(NC(C)=O)nc3ccccc23)cc1OC,organic,5.508638306165727
Inhibition of HFIP-induced human recombinant amyloid beta (1 to 40 residues) aggregation expressed in Escherichia coli measured over 24 hrs by ThT-based fluorescence spectroscopic method,IC50,CC(=O)Nc1nc(NCc2ccccc2)c2ccccc2n1,1900.0,nM,=,CHEMBL4061746,active,CC(=O)Nc1nc(NCc2ccccc2)c2ccccc2n1,organic,5.721246399047171
Inhibition of HFIP-induced human recombinant amyloid beta (1 to 40 residues) aggregation expressed in Escherichia coli measured over 24 hrs by ThT-based fluorescence spectroscopic method,IC50,CCCNc1nc(NCc2ccc(OC)c(OC)c2)c2ccccc2n1,1700.0,nM,=,CHEMBL4083524,active,CCCNc1nc(NCc2ccc(OC)c(OC)c2)c2ccccc2n1,organic,5.769551078621726
Inhibition of HFIP-induced human recombinant amyloid beta (1 to 40 residues) aggregation expressed in Escherichia coli measured over 24 hrs by ThT-based fluorescence spectroscopic method,IC50,COc1ccc(CNc2nc(NC3CC3)nc3ccccc23)cc1OC,8300.0,nM,=,CHEMBL4097374,active,COc1ccc(CNc2nc(NC3CC3)nc3ccccc23)cc1OC,organic,5.080921907623926
Inhibition of HFIP-induced human recombinant amyloid beta (1 to 40 residues) aggregation expressed in Escherichia coli measured over 24 hrs by ThT-based fluorescence spectroscopic method,IC50,CCNc1nc(NCc2ccccc2)c2ccccc2n1,7000.0,nM,=,CHEMBL4079345,active,CCNc1nc(NCc2ccccc2)c2ccccc2n1,organic,5.154901959985743
Inhibition of HFIP-induced human recombinant amyloid beta (1 to 40 residues) aggregation expressed in Escherichia coli measured over 24 hrs by ThT-based fluorescence spectroscopic method,IC50,CCCNc1nc(NCc2ccccc2)c2ccccc2n1,5000.0,nM,=,CHEMBL4105088,active,CCCNc1nc(NCc2ccccc2)c2ccccc2n1,organic,5.301029995663981
Inhibition of HFIP-induced human recombinant amyloid beta (1 to 40 residues) aggregation expressed in Escherichia coli measured over 24 hrs by ThT-based fluorescence spectroscopic method,IC50,CC(C)Nc1nc(NCc2ccccc2)c2ccccc2n1,4400.0,nM,=,CHEMBL3262251,active,CC(C)Nc1nc(NCc2ccccc2)c2ccccc2n1,organic,5.356547323513812
Inhibition of HFIP-induced human recombinant amyloid beta (1 to 40 residues) aggregation expressed in Escherichia coli measured over 24 hrs by ThT-based fluorescence spectroscopic method,IC50,c1ccc(CNc2nc(NC3CC3)nc3ccccc23)cc1,5700.0,nM,=,CHEMBL4067481,active,c1ccc(CNc2nc(NC3CC3)nc3ccccc23)cc1,organic,5.2441251443275085
Inhibition of HFIP-induced human recombinant amyloid beta (1 to 40 residues) aggregation expressed in Escherichia coli measured over 24 hrs by ThT-based fluorescence spectroscopic method,IC50,CNc1nc(NCCc2ccc(OC)c(OC)c2)c2ccccc2n1,6600.0,nM,=,CHEMBL4094911,active,CNc1nc(NCCc2ccc(OC)c(OC)c2)c2ccccc2n1,organic,5.180456064458132
Inhibition of HFIP-induced human recombinant amyloid beta (1 to 40 residues) aggregation expressed in Escherichia coli measured over 24 hrs by ThT-based fluorescence spectroscopic method,IC50,CCNc1nc(NCCc2ccc(OC)c(OC)c2)c2ccccc2n1,2900.0,nM,=,CHEMBL4078382,active,CCNc1nc(NCCc2ccc(OC)c(OC)c2)c2ccccc2n1,organic,5.5376020021010435
Inhibition of HFIP-induced human recombinant amyloid beta (1 to 40 residues) aggregation expressed in Escherichia coli measured over 24 hrs by ThT-based fluorescence spectroscopic method,IC50,CCCNc1nc(NCCc2ccc(OC)c(OC)c2)c2ccccc2n1,4300.0,nM,=,CHEMBL4102655,active,CCCNc1nc(NCCc2ccc(OC)c(OC)c2)c2ccccc2n1,organic,5.366531544420414
Inhibition of HFIP-induced human recombinant amyloid beta (1 to 40 residues) aggregation expressed in Escherichia coli measured over 24 hrs by ThT-based fluorescence spectroscopic method,IC50,COc1ccc(CCNc2nc(NC3CC3)nc3ccccc23)cc1OC,4900.0,nM,=,CHEMBL4086248,active,COc1ccc(CCNc2nc(NC3CC3)nc3ccccc23)cc1OC,organic,5.309803919971486
Inhibition of HFIP-induced human recombinant amyloid beta (1 to 40 residues) aggregation expressed in Escherichia coli measured over 24 hrs by ThT-based fluorescence spectroscopic method,IC50,CNc1nc(NCCc2ccccc2)c2ccccc2n1,2000.0,nM,=,CHEMBL4064773,active,CNc1nc(NCCc2ccccc2)c2ccccc2n1,organic,5.698970004336019
Inhibition of HFIP-induced human recombinant amyloid beta (1 to 40 residues) aggregation expressed in Escherichia coli measured over 24 hrs by ThT-based fluorescence spectroscopic method,IC50,CCNc1nc(NCCc2ccccc2)c2ccccc2n1,1400.0,nM,=,CHEMBL4061837,active,CCNc1nc(NCCc2ccccc2)c2ccccc2n1,organic,5.853871964321762
Inhibition of HFIP-induced human recombinant amyloid beta (1 to 40 residues) aggregation expressed in Escherichia coli measured over 24 hrs by ThT-based fluorescence spectroscopic method,IC50,CCCNc1nc(NCCc2ccccc2)c2ccccc2n1,4400.0,nM,=,CHEMBL4083601,active,CCCNc1nc(NCCc2ccccc2)c2ccccc2n1,organic,5.356547323513812
Inhibition of HFIP-induced human recombinant amyloid beta (1 to 40 residues) aggregation expressed in Escherichia coli measured over 24 hrs by ThT-based fluorescence spectroscopic method,IC50,CC(C)Nc1nc(NCCc2ccccc2)c2ccccc2n1,3800.0,nM,=,CHEMBL4070462,active,CC(C)Nc1nc(NCCc2ccccc2)c2ccccc2n1,organic,5.42021640338319
Inhibition of HFIP-induced human recombinant amyloid beta (1 to 40 residues) aggregation expressed in Escherichia coli measured over 24 hrs by ThT-based fluorescence spectroscopic method,IC50,c1ccc(CCNc2nc(NC3CC3)nc3ccccc23)cc1,790.0,nM,=,CHEMBL4091385,active,c1ccc(CCNc2nc(NC3CC3)nc3ccccc23)cc1,organic,6.102372908709558
Inhibition of HFIP-induced human recombinant amyloid beta (1 to 40 residues) aggregation expressed in Escherichia coli measured over 24 hrs by ThT-based fluorescence spectroscopic method,IC50,COc1cc(/C=C/C(=O)CC(=O)/C=C/c2ccc(O)c(OC)c2)ccc1O,3300.0,nM,=,CHEMBL140,active,COc1cc(/C=C/C(=O)CC(=O)/C=C/c2ccc(O)c(OC)c2)ccc1O,organic,5.481486060122113
Inhibition of HFIP-induced human recombinant amyloid beta (1 to 40 residues) aggregation expressed in Escherichia coli measured over 24 hrs by ThT-based fluorescence spectroscopic method,IC50,Oc1ccc(/C=C/c2cc(O)cc(O)c2)cc1,1100.0,nM,=,CHEMBL165,active,Oc1ccc(/C=C/c2cc(O)cc(O)c2)cc1,organic,5.958607314841775
Inhibition of HFIP-induced human recombinant amyloid beta (1 to 42 residues) aggregation expressed in Escherichia coli measured over 24 hrs by ThT-based fluorescence spectroscopic method,IC50,COc1ccc(CCNc2nc(Cl)nc3ccccc23)cc1OC,13000.0,nM,=,CHEMBL4087140,inactive,COc1ccc(CCNc2nc(Cl)nc3ccccc23)cc1OC,organic,4.886056647693163
Inhibition of HFIP-induced human recombinant amyloid beta (1 to 42 residues) aggregation expressed in Escherichia coli measured over 24 hrs by ThT-based fluorescence spectroscopic method,IC50,Nc1nc(NCc2ccccc2)nc2ccccc12,8400.0,nM,=,CHEMBL3814134,active,Nc1nc(NCc2ccccc2)nc2ccccc12,organic,5.075720713938118
Inhibition of HFIP-induced human recombinant amyloid beta (1 to 42 residues) aggregation expressed in Escherichia coli measured over 24 hrs by ThT-based fluorescence spectroscopic method,IC50,COc1cc(/C=C/C(=O)CC(=O)/C=C/c2ccc(O)c(OC)c2)ccc1O,9900.0,nM,=,CHEMBL140,active,COc1cc(/C=C/C(=O)CC(=O)/C=C/c2ccc(O)c(OC)c2)ccc1O,organic,5.00436480540245
Inhibition of HFIP-induced human recombinant amyloid beta (1 to 42 residues) aggregation expressed in Escherichia coli measured over 24 hrs by ThT-based fluorescence spectroscopic method,IC50,Oc1ccc(/C=C/c2cc(O)cc(O)c2)cc1,15300.0,nM,=,CHEMBL165,inactive,Oc1ccc(/C=C/c2cc(O)cc(O)c2)cc1,organic,4.815308569182401
Inhibition of amyloid beta (1 to 40 residues) (unknown origin) fibril formation by thioflavin-T fluorescence based assay,IC50,COc1cc(/C=C/C(=O)CC(=O)/C=C/c2ccc(O)c(OC)c2)ccc1O,1000.0,nM,=,CHEMBL140,active,COc1cc(/C=C/C(=O)CC(=O)/C=C/c2ccc(O)c(OC)c2)ccc1O,organic,6.0
Inhibition of amyloid beta (1 to 42) (unknown origin) aggregation by Thioflavin-T fluorescence assay,IC50,O=c1c(O)c(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12,124600.0,nM,=,CHEMBL50,inactive,O=c1c(O)c(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12,organic,3.904481957676849
Inhibition of amyloid beta (1 to 42) (unknown origin) aggregation by Thioflavin-T fluorescence assay,IC50,O=c1c(O)c(-c2cc(O)c(O)c(O)c2)oc2cc(O)cc(O)c12,14800.0,nM,=,CHEMBL164,inactive,O=c1c(O)c(-c2cc(O)c(O)c(O)c2)oc2cc(O)cc(O)c12,organic,4.8297382846050425
Inhibition of amyloid beta (1 to 42) (unknown origin) aggregation by Thioflavin-T fluorescence assay,IC50,O=C1c2c(O)cc(O)cc2O[C@H](c2cc(O)c(O)c(O)c2)[C@H]1O,12800.0,nM,=,CHEMBL3348861,inactive,O=C1c2c(O)cc(O)cc2O[C@H](c2cc(O)c(O)c(O)c2)[C@H]1O,organic,4.892790030352131
Inhibition of amyloid beta (1 to 42) (unknown origin) aggregation by Thioflavin-T fluorescence assay,IC50,O=c1c(O)c(-c2ccc(O)cc2)oc2cc(O)cc(O)c12,75100.0,nM,=,CHEMBL150,inactive,O=c1c(O)c(-c2ccc(O)cc2)oc2cc(O)cc(O)c12,organic,4.124360062995832
Inhibition of amyloid beta (1 to 42) (unknown origin) aggregation by Thioflavin-T fluorescence assay,IC50,O=c1cc(-c2ccc(O)cc2)oc2cc(O)cc(O)c12,176200.0,nM,=,CHEMBL28,inactive,O=c1cc(-c2ccc(O)cc2)oc2cc(O)cc(O)c12,organic,3.753994095923971
Inhibition of human amyloid beta (1 to 40) aggregation after 1 hr by thioflavin-T fluorescence assay,IC50,COc1cc(/C=C/C(=O)CC(=O)/C=C/c2ccc(O)c(OC)c2)ccc1O,800.0,nM,=,CHEMBL140,active,COc1cc(/C=C/C(=O)CC(=O)/C=C/c2ccc(O)c(OC)c2)ccc1O,organic,6.096910013008056
