assay,std_type,SMILES,std_value,std_units,standard_relation,molecule_chembl_id
Inhibition of human amyloid beta (1 to 42) fibrillization at 100 uM measured every 15 mins by Thioflavin-T fluorescence assay relative to control,Inhibition,O=C(O)c1cc(S(=O)(=O)NCc2ccccc2)c(Cl)cc1NCc1ccco1,11.81,%,=,CHEMBL4846222
Inhibition of human amyloid beta (1 to 42) fibrillization at 100 uM measured every 15 mins by Thioflavin-T fluorescence assay relative to control,Inhibition,CC(O)c1ccc(CNS(=O)(=O)c2cc(C(=O)O)c(NCc3ccco3)cc2Cl)cc1,,%,,CHEMBL4860892
Inhibition of human amyloid beta (1 to 42) fibrillization at 100 uM measured every 15 mins by Thioflavin-T fluorescence assay relative to control,Inhibition,O=C(O)c1cc(S(=O)(=O)N2CCOCC2)c(Cl)cc1NCc1ccco1,,%,,CHEMBL4879194
Inhibition of human amyloid beta (1 to 42) fibrillization at 100 uM measured every 15 mins by Thioflavin-T fluorescence assay relative to control,Inhibition,CN(Cc1ccccc1)S(=O)(=O)c1cc(C(=O)O)c(NCc2ccco2)cc1Cl,,%,,CHEMBL4861569
Inhibition of human amyloid beta (1 to 42) fibrillization at 100 uM measured every 15 mins by Thioflavin-T fluorescence assay relative to control,Inhibition,CC(NS(=O)(=O)c1cc(C(=O)O)c(NCc2ccco2)cc1Cl)c1ccccc1,17.63,%,=,CHEMBL4871443
Inhibition of human amyloid beta (1 to 42) fibrillization at 100 uM measured every 15 mins by Thioflavin-T fluorescence assay relative to control,Inhibition,O=C(O)c1cc(S(=O)(=O)NCCc2ccccc2)c(Cl)cc1NCc1ccco1,,%,,CHEMBL4863308
Inhibition of human amyloid beta (1 to 42) fibrillization at 100 uM measured every 15 mins by Thioflavin-T fluorescence assay relative to control,Inhibition,CCNS(=O)(=O)c1cc(C(=O)O)c(NCc2ccco2)cc1Cl,21.29,%,=,CHEMBL4877793
Inhibition of human amyloid beta (1 to 42) fibrillization at 100 uM measured every 15 mins by Thioflavin-T fluorescence assay relative to control,Inhibition,CN(C)S(=O)(=O)c1cc(C(=O)O)c(NCc2ccco2)cc1Cl,,%,,CHEMBL4846727
Inhibition of human amyloid beta (1 to 42) fibrillization at 100 uM measured every 15 mins by Thioflavin-T fluorescence assay relative to control,Inhibition,COc1ccc(CNS(=O)(=O)c2cc(C(=O)O)c(NCc3ccco3)cc2Cl)cc1,27.83,%,=,CHEMBL4846970
Inhibition of human amyloid beta (1 to 42) fibrillization at 100 uM measured every 15 mins by Thioflavin-T fluorescence assay relative to control,Inhibition,CCCCCCNS(=O)(=O)c1cc(C(=O)O)c(NCc2ccco2)cc1Cl,39.24,%,=,CHEMBL4848103
Inhibition of human amyloid beta (1 to 42) fibrillization at 100 uM measured every 15 mins by Thioflavin-T fluorescence assay relative to control,Inhibition,Cc1ccc(CNS(=O)(=O)c2cc(C(=O)O)c(NCc3ccco3)cc2Cl)cc1,,%,,CHEMBL4872394
Inhibition of human amyloid beta (1 to 42) fibrillization at 100 uM measured every 15 mins by Thioflavin-T fluorescence assay relative to control,Inhibition,O=C(O)c1cc(S(=O)(=O)Nc2ccccc2)c(Cl)cc1NCc1ccco1,17.42,%,=,CHEMBL4852897
Inhibition of human amyloid beta (1 to 42) fibrillization at 100 uM measured every 15 mins by Thioflavin-T fluorescence assay relative to control,Inhibition,O=C(O)c1cc(S(=O)(=O)NC2CCCCC2)c(Cl)cc1NCc1ccco1,11.3,%,=,CHEMBL4848555
Inhibition of human amyloid beta (1 to 42) fibrillization at 100 uM measured every 15 mins by Thioflavin-T fluorescence assay relative to control,Inhibition,O=C(O)c1cc(S(=O)(=O)N2CCCCC2)c(Cl)cc1NCc1ccco1,19.08,%,=,CHEMBL4846378
Inhibition of human amyloid beta (1 to 42) fibrillization at 100 uM measured every 15 mins by Thioflavin-T fluorescence assay relative to control,Inhibition,CNS(=O)(=O)c1cc(C(=O)O)c(NCC2CCCO2)cc1Cl,17.49,%,=,CHEMBL4867846
Inhibition of human amyloid beta (1 to 42) fibrillization at 100 uM measured every 15 mins by Thioflavin-T fluorescence assay relative to control,Inhibition,NC(=O)c1cc(C(=O)O)c(NCc2ccco2)cc1Cl,32.37,%,=,CHEMBL4852754
Inhibition of human amyloid beta (1 to 42) fibrillization at 100 uM measured every 15 mins by Thioflavin-T fluorescence assay relative to control,Inhibition,CNC(=O)c1cc(C(=O)O)c(NCc2ccco2)cc1Cl,19.07,%,=,CHEMBL4854685
Inhibition of human amyloid beta (1 to 42) fibrillization at 100 uM measured every 15 mins by Thioflavin-T fluorescence assay relative to control,Inhibition,CCNC(=O)c1cc(C(=O)O)c(NCc2ccco2)cc1Cl,24.64,%,=,CHEMBL4861036
Inhibition of human amyloid beta (1 to 42) fibrillization at 100 uM measured every 15 mins by Thioflavin-T fluorescence assay relative to control,Inhibition,CN(C)C(=O)c1cc(C(=O)O)c(NCc2ccco2)cc1Cl,18.35,%,=,CHEMBL4862956
Inhibition of human amyloid beta (1 to 42) fibrillization at 100 uM measured every 15 mins by Thioflavin-T fluorescence assay relative to control,Inhibition,O=C(O)c1cc(C(=O)N2CCOCC2)c(Cl)cc1NCc1ccco1,34.05,%,=,CHEMBL4858520
Inhibition of human amyloid beta (1 to 42) fibrillization at 100 uM measured every 15 mins by Thioflavin-T fluorescence assay relative to control,Inhibition,O=C(O)c1cc(C(=O)N2CCCCC2)c(Cl)cc1NCc1ccco1,11.03,%,=,CHEMBL4871063
Inhibition of human amyloid beta (1 to 42) fibrillization at 100 uM measured every 15 mins by Thioflavin-T fluorescence assay relative to control,Inhibition,O=C(Nc1ccccc1)c1cc(C(=O)O)c(NCc2ccco2)cc1Cl,29.43,%,=,CHEMBL4852794
Inhibition of human amyloid beta (1 to 42) fibrillization at 100 uM measured every 15 mins by Thioflavin-T fluorescence assay relative to control,Inhibition,CNS(=O)(=O)c1cc(CO)c(NCc2ccco2)cc1Cl,15.03,%,=,CHEMBL4850077
Inhibition of human amyloid beta (1 to 42) fibrillization at 100 uM measured every 15 mins by Thioflavin-T fluorescence assay relative to control,Inhibition,CNS(=O)(=O)c1cc(C(=O)OC)c(NCc2ccco2)cc1Cl,27.14,%,=,CHEMBL4851224
Inhibition of human amyloid beta (1 to 42) fibrillization at 100 uM measured every 15 mins by Thioflavin-T fluorescence assay relative to control,Inhibition,CNS(=O)(=O)c1cc(C(N)=O)c(NCc2ccco2)cc1Cl,,%,,CHEMBL4863425
Inhibition of human amyloid beta (1 to 42) fibrillization at 100 uM measured every 15 mins by Thioflavin-T fluorescence assay relative to control,Inhibition,CNC(=O)c1cc(S(=O)(=O)NC)c(Cl)cc1NCc1ccco1,,%,,CHEMBL4850840
Inhibition of human amyloid beta (1 to 42) fibrillization at 100 uM measured every 15 mins by Thioflavin-T fluorescence assay relative to control,Inhibition,CNS(=O)(=O)c1cc(C(=O)N(C)C)c(NCc2ccco2)cc1Cl,25.17,%,=,CHEMBL4870723
Inhibition of human amyloid beta (1 to 42) fibrillization at 100 uM measured every 15 mins by Thioflavin-T fluorescence assay relative to control,Inhibition,CNS(=O)(=O)c1cc(-c2nnn[nH]2)c(NCc2ccco2)cc1Cl,14.06,%,=,CHEMBL4874275
Inhibition of human amyloid beta (1 to 42) fibrillization at 100 uM measured every 15 mins by Thioflavin-T fluorescence assay relative to control,Inhibition,CNS(=O)(=O)c1cc(-c2noc(=O)[nH]2)c(NCc2ccco2)cc1Cl,20.22,%,=,CHEMBL4874912
Inhibition of human amyloid beta (1 to 42) fibrillization at 100 uM measured every 15 mins by Thioflavin-T fluorescence assay relative to control,Inhibition,O=C(O)c1ccc(F)cc1NCc1ccco1,12.39,%,=,CHEMBL4864237
Inhibition of human amyloid beta (1 to 42) fibrillization at 100 uM measured every 15 mins by Thioflavin-T fluorescence assay relative to control,Inhibition,O=C(O)c1ccc(Cl)cc1NCc1ccco1,20.18,%,=,CHEMBL4847254
Inhibition of human amyloid beta (1 to 42) fibrillization at 100 uM measured every 15 mins by Thioflavin-T fluorescence assay relative to control,Inhibition,O=C(O)c1ccc(Br)cc1NCc1ccco1,6.13,%,=,CHEMBL4858866
Inhibition of human amyloid beta (1 to 42) fibrillization at 100 uM measured every 15 mins by Thioflavin-T fluorescence assay relative to control,Inhibition,OC(c1ccc(F)cc1NCc1ccco1)C(F)(F)F,6.13,%,=,CHEMBL4858198
Inhibition of human amyloid beta (1 to 42) fibrillization at 100 uM measured every 15 mins by Thioflavin-T fluorescence assay relative to control,Inhibition,OC(c1ccc(Cl)cc1NCc1ccco1)C(F)(F)F,60.72,%,=,CHEMBL4852293
Inhibition of human amyloid beta (1 to 42) fibrillization at 100 uM measured every 15 mins by Thioflavin-T fluorescence assay relative to control,Inhibition,OC(c1ccc(Br)cc1NCc1ccco1)C(F)(F)F,81.32,%,=,CHEMBL4863817
Inhibition of human amyloid beta (1 to 42) fibrillization at 100 uM measured every 15 mins by Thioflavin-T fluorescence assay relative to control,Inhibition,COc1ccc(C(O)C(F)(F)F)c(NCc2ccco2)c1,36.8,%,=,CHEMBL4875224
Inhibition of human amyloid beta (1 to 42) fibrillization at 100 uM measured every 15 mins by Thioflavin-T fluorescence assay relative to control,Inhibition,OC(c1ccc(Cl)cc1NCc1cscn1)C(F)(F)F,27.88,%,=,CHEMBL4856901
Inhibition of human amyloid beta (1 to 42) fibrillization at 100 uM measured every 15 mins by Thioflavin-T fluorescence assay relative to control,Inhibition,OC(c1ccc(Br)cc1NCc1cscn1)C(F)(F)F,33.03,%,=,CHEMBL4857258
Inhibition of human amyloid beta (1 to 42) fibrillization at 100 uM measured every 15 mins by Thioflavin-T fluorescence assay relative to control,Inhibition,COc1ccc(C(O)C(F)(F)F)c(NCc2cscn2)c1,6.49,%,=,CHEMBL4848389
Photo-degradation of Amyloid beta (1 to 42) (unknown origin) assessed as disruption of Co2 induced aggregation at 66.7 uM irradiated with UVA-LED for 1 hr by immunoblotting analysis,Inhibition,CC[n+]1ccc(-c2ccc(-c3nc4ccccc4s3)cc2)cc1.[Br-],,%,,CHEMBL4857230
Photo-degradation of Amyloid beta (1 to 42) (unknown origin) assessed as disruption of Co2 induced aggregation at 66.7 uM irradiated with UVA-LED measured after 5 mins by immunoblotting analysis,Inhibition,CC[n+]1ccc(-c2ccc(-c3nc4ccccc4s3)cc2)cc1.[Br-],,%,,CHEMBL4857230
Photo-degradation of Amyloid beta (1 to 42) (unknown origin) assessed as disruption of Co2 induced aggregation irradiated with UVA-LED measured after 30 mins by immunoblotting analysis,Activity,Cc1ccc2c(c1)sc(-c1ccc(N(C)C)cc1)[n+]2C.[Cl-],,,,CHEMBL224392
Inhibition of human amyloid beta (25 to 35) self-induced aggregation at 100 uM after 48 hrs by thioflavin-T fluorescence relative to control,Inhibition,c1ccc2oc(C3CCNCC3)cc2c1,45.45,%,=,CHEMBL4863598
Inhibition of human amyloid beta (25 to 35) self-induced aggregation at 100 uM after 48 hrs by thioflavin-T fluorescence relative to control,Inhibition,c1ccc(CN2CCC(c3cc4ccccc4o3)CC2)cc1,55.4,%,=,CHEMBL4855388
Inhibition of human amyloid beta (25 to 35) self-induced aggregation at 100 uM after 48 hrs by thioflavin-T fluorescence relative to control,Inhibition,Oc1ccc(CN2CCC(c3cc4ccccc4o3)CC2)cc1,48.28,%,=,CHEMBL4873119
Inhibition of human amyloid beta (25 to 35) self-induced aggregation at 100 uM after 48 hrs by thioflavin-T fluorescence relative to control,Inhibition,COc1ccc(CN2CCC(c3cc4ccccc4o3)CC2)cc1OC,14.67,%,=,CHEMBL4863754
Inhibition of human amyloid beta (25 to 35) self-induced aggregation at 100 uM after 48 hrs by thioflavin-T fluorescence relative to control,Inhibition,COc1ccc(CN2CCC(c3cc4ccccc4o3)CC2)cc1,8.04,%,=,CHEMBL4871752
Inhibition of human amyloid beta (25 to 35) self-induced aggregation at 100 uM after 48 hrs by thioflavin-T fluorescence relative to control,Inhibition,COc1ccc(OC)c(CN2CCC(c3cc4ccccc4o3)CC2)c1,51.8,%,=,CHEMBL4875660
Inhibition of human amyloid beta (25 to 35) self-induced aggregation at 100 uM after 48 hrs by thioflavin-T fluorescence relative to control,Inhibition,CCc1ccc(CN2CCC(c3cc4ccccc4o3)CC2)cc1,19.9,%,=,CHEMBL4855139
Inhibition of human amyloid beta (25 to 35) self-induced aggregation at 100 uM after 48 hrs by thioflavin-T fluorescence relative to control,Inhibition,Clc1ccc(CN2CCC(c3cc4ccccc4o3)CC2)cc1,24.4,%,=,CHEMBL4878578
Inhibition of human amyloid beta (25 to 35) self-induced aggregation at 100 uM after 48 hrs by thioflavin-T fluorescence relative to control,Inhibition,Fc1ccc(CN2CCC(c3cc4ccccc4o3)CC2)cc1,57.71,%,=,CHEMBL4875517
Inhibition of human amyloid beta (25 to 35) self-induced aggregation at 100 uM after 48 hrs by thioflavin-T fluorescence relative to control,Inhibition,O=C(c1ccccc1)c1c(C2CCN(Cc3ccccc3)CC2)oc2ccccc12,61.91,%,=,CHEMBL4865381
Inhibition of human amyloid beta (25 to 35) self-induced aggregation at 100 uM after 48 hrs by thioflavin-T fluorescence relative to control,Inhibition,COc1ccc(C(=O)c2c(C3CCN(Cc4ccccc4)CC3)oc3ccccc23)cc1,47.43,%,=,CHEMBL4849087
Inhibition of human amyloid beta (25 to 35) self-induced aggregation at 100 uM after 48 hrs by thioflavin-T fluorescence relative to control,Inhibition,COc1ccc(CN2CCC(c3oc4ccccc4c3C(=O)c3ccccc3)CC2)cc1OC,42.93,%,=,CHEMBL4848309
Inhibition of human amyloid beta (25 to 35) self-induced aggregation at 100 uM after 48 hrs by thioflavin-T fluorescence relative to control,Inhibition,COc1ccc(CN2CCC(c3oc4ccccc4c3C(=O)c3ccc(OC)c(OC)c3)CC2)cc1OC,54.37,%,=,CHEMBL4874487
Inhibition of human amyloid beta (25 to 35) self-induced aggregation at 100 uM after 48 hrs by thioflavin-T fluorescence relative to control,Inhibition,COc1ccc(OC)c(CN2CCC(c3oc4ccccc4c3C(=O)c3ccccc3)CC2)c1,39.41,%,=,CHEMBL4858801
Inhibition of human amyloid beta (25 to 35) self-induced aggregation at 100 uM after 48 hrs by thioflavin-T fluorescence relative to control,Inhibition,COc1ccc(OC)c(CN2CCC(c3oc4ccccc4c3C(=O)c3ccc(OC)c(OC)c3)CC2)c1,37.41,%,=,CHEMBL4848809
Inhibition of human amyloid beta (25 to 35) self-induced aggregation at 100 uM after 48 hrs by thioflavin-T fluorescence relative to control,Inhibition,COc1ccc(C(=O)c2c(C3CCN(Cc4cc(OC)ccc4OC)CC3)oc3ccccc23)cc1,45.95,%,=,CHEMBL4857748
Inhibition of human amyloid beta (25 to 35) self-induced aggregation at 100 uM after 48 hrs by thioflavin-T fluorescence relative to control,Inhibition,COc1ccc(CN2CCC(c3oc4ccccc4c3C(=O)c3ccccc3)CC2)cc1,42.22,%,=,CHEMBL4853093
Inhibition of human amyloid beta (25 to 35) self-induced aggregation at 100 uM after 48 hrs by thioflavin-T fluorescence relative to control,Inhibition,COc1ccc(CN2CCC(c3oc4ccccc4c3C(=O)c3ccc(OC)cc3)CC2)cc1,45.03,%,=,CHEMBL4845972
Inhibition of human amyloid beta (25 to 35) self-induced aggregation at 100 uM after 48 hrs by thioflavin-T fluorescence relative to control,Inhibition,COc1cc(/C=C/C(=O)CC(=O)/C=C/c2ccc(O)c(OC)c2)ccc1O,49.9,%,=,CHEMBL140
Inhibition of human amyloid beta (25 to 35) self-induced aggregation at 100 uM after 48 hrs by thioflavin-T fluorescence relative to control,Inhibition,COc1cc2c(cc1OC)C(=O)C(CC1CCN(Cc3ccccc3)CC1)C2,,%,,CHEMBL502
Inhibition of human amyloid beta (25 to 35) self-induced aggregation at 100 uM after 48 hrs by thioflavin-T fluorescence relative to control,Inhibition,CCN(C)C(=O)Oc1cccc([C@H](C)N(C)C)c1,,%,,CHEMBL636
Inhibition of amyloid beta(25 to 35) (unknown origin) binding to human SH-SY5Y cell plasma membrane at 10 uM measured after 20 mins by UV-vis microplate reader assay,Inhibition,c1ccc(CN2CCC(c3cc4ccccc4o3)CC2)cc1,,%,,CHEMBL4855388
Inhibition of amyloid beta(25 to 35) (unknown origin) binding to human SH-SY5Y cell plasma membrane at 10 uM measured after 20 mins by UV-vis microplate reader assay,Inhibition,Fc1ccc(CN2CCC(c3cc4ccccc4o3)CC2)cc1,,%,,CHEMBL4875517
Inhibition of amyloid beta(25 to 35) (unknown origin) binding to human SH-SY5Y cell plasma membrane at 10 uM measured after 20 mins by UV-vis microplate reader assay,Inhibition,O=C(c1ccccc1)c1c(C2CCN(Cc3ccccc3)CC2)oc2ccccc12,,%,,CHEMBL4865381
"Displacement of [3]10-methoxy-N-(pyridin-3-yl-7-thia-2,5-diazatricyclo(6.4.0.0 2.6)-dodeca-1(12),3,5,8,10-pentaene-4-carboxamide from human Amyloid beta plaques using AD postmortem patient brain homogenates at 1 uM incubated for 2 hr by radio ligand binding assay relative to control",Activity,[11CH3]Oc1ccc(NC(=O)c2ccn3c(n2)nc2ccccc23)cn1,,,,CHEMBL4863383
"Displacement of [3]10-methoxy-N-(pyridin-3-yl-7-thia-2,5-diazatricyclo(6.4.0.0 2.6)-dodeca-1(12),3,5,8,10-pentaene-4-carboxamide from human Amyloid beta plaques using AD postmortem patient brain homogenates at 1 uM incubated for 2 hr by radio ligand binding assay relative to control",Activity,CNc1ccc(-c2cn3c(n2)sc2cc(OCCF)ccc23)cc1,130.0,%,=,CHEMBL2068862
"Displacement of [3]10-methoxy-N-(pyridin-3-yl-7-thia-2,5-diazatricyclo(6.4.0.0 2.6)-dodeca-1(12),3,5,8,10-pentaene-4-carboxamide from human Amyloid beta plaques using AD postmortem patient brain homogenates at 1 uM incubated for 2 hr by radio ligand binding assay relative to control",Activity,FCCC1CCN(c2ccn3c(n2)nc2ccccc23)CC1,34.0,%,=,CHEMBL3546238
"Displacement of [3]10-methoxy-N-(pyridin-3-yl-7-thia-2,5-diazatricyclo(6.4.0.0 2.6)-dodeca-1(12),3,5,8,10-pentaene-4-carboxamide from human Amyloid beta plaques using AD postmortem patient brain homogenates at 1 uM incubated for 2 hr by radio ligand binding assay relative to control",Activity,COc1ccc2c(c1)sc1nc(C(=O)Nc3cccnc3)cn12,100.0,%,=,CHEMBL4860410
"Displacement of [3]10-methoxy-N-(pyridin-3-yl-7-thia-2,5-diazatricyclo(6.4.0.0 2.6)-dodeca-1(12),3,5,8,10-pentaene-4-carboxamide from human Amyloid beta plaques using AD postmortem patient brain homogenates at 1 uM incubated for 2 hr by radio ligand binding assay relative to control",Activity,COc1ccc2c(c1)nc1nc(C(=O)Nc3cccnc3)ccn12,17.0,%,=,CHEMBL4869785
"Displacement of [3]10-methoxy-N-(pyridin-3-yl-7-thia-2,5-diazatricyclo(6.4.0.0 2.6)-dodeca-1(12),3,5,8,10-pentaene-4-carboxamide from human Amyloid beta plaques using AD postmortem patient brain homogenates at 1 uM incubated for 2 hr by radio ligand binding assay relative to control",Activity,O=C(Nc1cccnc1)c1ccn2c(n1)nc1ccccc12,-12.0,%,=,CHEMBL4868771
"Displacement of [3]10-methoxy-N-(pyridin-3-yl-7-thia-2,5-diazatricyclo(6.4.0.0 2.6)-dodeca-1(12),3,5,8,10-pentaene-4-carboxamide from human Amyloid beta plaques using AD postmortem patient brain homogenates at 1 uM incubated for 2 hr by radio ligand binding assay relative to control",Activity,O=C(Nc1ccccn1)c1ccn2c(n1)nc1ccccc12,24.0,%,=,CHEMBL4870456
"Displacement of [3]10-methoxy-N-(pyridin-3-yl-7-thia-2,5-diazatricyclo(6.4.0.0 2.6)-dodeca-1(12),3,5,8,10-pentaene-4-carboxamide from human Amyloid beta plaques using AD postmortem patient brain homogenates at 1 uM incubated for 2 hr by radio ligand binding assay relative to control",Activity,COc1ccc2c(c1)nc1nc(C(=O)Nc3ccccn3)ccn12,41.0,%,=,CHEMBL4856369
"Displacement of [3]10-methoxy-N-(pyridin-3-yl-7-thia-2,5-diazatricyclo(6.4.0.0 2.6)-dodeca-1(12),3,5,8,10-pentaene-4-carboxamide from human Amyloid beta plaques using AD postmortem patient brain homogenates at 1 uM incubated for 2 hr by radio ligand binding assay relative to control",Activity,COc1ccc2c(c1)nc1nc(C(=O)Nc3ccc(OC)nc3)ccn12,13.0,%,=,CHEMBL4874428
"Displacement of [3]10-methoxy-N-(pyridin-3-yl-7-thia-2,5-diazatricyclo(6.4.0.0 2.6)-dodeca-1(12),3,5,8,10-pentaene-4-carboxamide from human Amyloid beta plaques using AD postmortem patient brain homogenates at 1 uM incubated for 2 hr by radio ligand binding assay relative to control",Activity,COc1cncc(NC(=O)c2ccn3c(n2)nc2ccccc23)c1,25.0,%,=,CHEMBL4872211
"Displacement of [3]10-methoxy-N-(pyridin-3-yl-7-thia-2,5-diazatricyclo(6.4.0.0 2.6)-dodeca-1(12),3,5,8,10-pentaene-4-carboxamide from human Amyloid beta plaques using AD postmortem patient brain homogenates at 1 uM incubated for 2 hr by radio ligand binding assay relative to control",Activity,COc1cncc(NC(=O)c2ccn3c(n2)nc2cc(OC)ccc23)c1,5.0,%,=,CHEMBL4873557
"Displacement of [3]10-methoxy-N-(pyridin-3-yl-7-thia-2,5-diazatricyclo(6.4.0.0 2.6)-dodeca-1(12),3,5,8,10-pentaene-4-carboxamide from human Amyloid beta plaques using AD postmortem patient brain homogenates at 1 uM incubated for 2 hr by radio ligand binding assay relative to control",Activity,COc1cc(NC(=O)c2ccn3c(n2)nc2ccccc23)cnc1OC,21.0,%,=,CHEMBL4869137
"Displacement of [3]10-methoxy-N-(pyridin-3-yl-7-thia-2,5-diazatricyclo(6.4.0.0 2.6)-dodeca-1(12),3,5,8,10-pentaene-4-carboxamide from human Amyloid beta plaques using AD postmortem patient brain homogenates at 1 uM incubated for 2 hr by radio ligand binding assay relative to control",Activity,COc1ncc(NC(=O)c2ccn3c(n2)nc2ccccc23)cc1C,-29.0,%,=,CHEMBL4873333
"Displacement of [3]10-methoxy-N-(pyridin-3-yl-7-thia-2,5-diazatricyclo(6.4.0.0 2.6)-dodeca-1(12),3,5,8,10-pentaene-4-carboxamide from human Amyloid beta plaques using AD postmortem patient brain homogenates at 1 uM incubated for 2 hr by radio ligand binding assay relative to control",Activity,Cc1cc(NC(=O)c2ccn3c(n2)nc2ccccc23)cnc1C,21.0,%,=,CHEMBL4867379
"Displacement of [3]10-methoxy-N-(pyridin-3-yl-7-thia-2,5-diazatricyclo(6.4.0.0 2.6)-dodeca-1(12),3,5,8,10-pentaene-4-carboxamide from human Amyloid beta plaques using AD postmortem patient brain homogenates at 1 uM incubated for 2 hr by radio ligand binding assay relative to control",Activity,Cn1nc(NC(=O)c2ccn3c(n2)nc2ccccc23)ccc1=O,12.0,%,=,CHEMBL4877913
"Displacement of [3]10-methoxy-N-(pyridin-3-yl-7-thia-2,5-diazatricyclo(6.4.0.0 2.6)-dodeca-1(12),3,5,8,10-pentaene-4-carboxamide from human Amyloid beta plaques using AD postmortem patient brain homogenates at 1 uM incubated for 2 hr by radio ligand binding assay relative to control",Activity,COc1ccc2c(c1)nc1nc(C(=O)Nc3ccncn3)ccn12,30.0,%,=,CHEMBL4851076
"Displacement of [3]10-methoxy-N-(pyridin-3-yl-7-thia-2,5-diazatricyclo(6.4.0.0 2.6)-dodeca-1(12),3,5,8,10-pentaene-4-carboxamide from human Amyloid beta plaques using AD postmortem patient brain homogenates at 1 uM incubated for 2 hr by radio ligand binding assay relative to control",Activity,COc1ccc2c(c1)nc1nc(C(=O)N3Cc4cccnc4C3)ccn12,0.0,%,=,CHEMBL4846194
"Displacement of [3]10-methoxy-N-(pyridin-3-yl-7-thia-2,5-diazatricyclo(6.4.0.0 2.6)-dodeca-1(12),3,5,8,10-pentaene-4-carboxamide from human Amyloid beta plaques using AD postmortem patient brain homogenates at 1 uM incubated for 2 hr by radio ligand binding assay relative to control",Activity,COc1ccc2c(c1)nc1nc(C(=O)NC3CCCc4cccnc43)ccn12,8.0,%,=,CHEMBL4849438
Inhibition of amyloid beta (1 to 42) (unknown origin) self aggregation at 25 uM by Thioflavin T based fluorometric assay,Inhibition,O=C1CC(c2ccc(O)cc2)Oc2cc(OC(=O)N3CCCCC3)cc(O)c21,36.11,%,=,CHEMBL4872071
Inhibition of amyloid beta (1 to 42) (unknown origin) self aggregation at 25 uM by Thioflavin T based fluorometric assay,Inhibition,O=C1CC(c2ccc(O)cc2)Oc2cc(OC(=O)N3CCOCC3)cc(O)c21,62.3,%,=,CHEMBL4848543
Inhibition of amyloid beta (1 to 42) (unknown origin) self aggregation at 25 uM by Thioflavin T based fluorometric assay,Inhibition,CCN(C)C(=O)Oc1cc(O)c2c(c1)OC(c1ccc(O)cc1)CC2=O,66.49,%,=,CHEMBL4852914
Inhibition of amyloid beta (1 to 42) (unknown origin) self aggregation at 25 uM by Thioflavin T based fluorometric assay,Inhibition,CN(C)C(=O)Oc1ccc(C2CC(=O)c3c(O)cc(OC(=O)N(C)C)cc3O2)cc1,62.39,%,=,CHEMBL4850938
Inhibition of amyloid beta (1 to 42) (unknown origin) self aggregation at 25 uM by Thioflavin T based fluorometric assay,Inhibition,O=C1C[C@@H](c2ccc(O)cc2)Oc2cc(O)cc(O)c21,44.91,%,=,CHEMBL9352
Inhibition of amyloid beta (1 to 42) (unknown origin) self aggregation at 25 uM by Thioflavin T based fluorometric assay,Inhibition,COc1cc(/C=C/C(=O)CC(=O)/C=C/c2ccc(O)c(OC)c2)ccc1O,31.75,%,=,CHEMBL140
Inhibition of amyloid beta (1 to 42) (unknown origin) self aggregation at 10 uM incubated for 24 to 48 hrs by Thioflavin-T based fluorometric assay,Inhibition,O=S(=O)(c1ccccc1)n1ccc2c(OCCNCc3ccccc3)cccc21,45.9,%,=,CHEMBL368698
Inhibition of amyloid beta (1 to 42) (unknown origin) self aggregation at 10 uM incubated for 24 to 48 hrs by Thioflavin-T based fluorometric assay,Inhibition,Cc1cccc(CNCCOc2cccc3c2ccn3S(=O)(=O)c2ccccc2)c1,33.3,%,=,CHEMBL4849477
Inhibition of amyloid beta (1 to 42) (unknown origin) self aggregation at 10 uM incubated for 24 to 48 hrs by Thioflavin-T based fluorometric assay,Inhibition,O=S(=O)(c1ccccc1)n1ccc2c(OCCNCc3ccc(F)cc3)cccc21,40.5,%,=,CHEMBL4863101
Inhibition of amyloid beta (1 to 42) (unknown origin) self aggregation at 10 uM incubated for 24 to 48 hrs by Thioflavin-T based fluorometric assay,Inhibition,O=[N+]([O-])c1ccc(CNCCOc2cccc3c2ccn3S(=O)(=O)c2ccccc2)cc1,35.1,%,=,CHEMBL4850275
Inhibition of amyloid beta (1 to 42) (unknown origin) self aggregation at 10 uM incubated for 24 to 48 hrs by Thioflavin-T based fluorometric assay,Inhibition,COc1cccc(CNCCOc2cccc3c2ccn3S(=O)(=O)c2ccccc2)c1,27.6,%,=,CHEMBL4871357
Inhibition of amyloid beta (1 to 42) (unknown origin) self aggregation at 10 uM incubated for 24 to 48 hrs by Thioflavin-T based fluorometric assay,Inhibition,COc1ccc(CNCCOc2cccc3c2ccn3S(=O)(=O)c2ccccc2)cc1,54.2,%,=,CHEMBL4864854
Inhibition of amyloid beta (1 to 42) (unknown origin) self aggregation at 10 uM incubated for 24 to 48 hrs by Thioflavin-T based fluorometric assay,Inhibition,COc1ccc(CNCCOc2cccc3c2ccn3S(=O)(=O)c2ccccc2)cc1OC,36.8,%,=,CHEMBL4866390
Inhibition of amyloid beta (1 to 42) (unknown origin) self aggregation at 10 uM incubated for 24 to 48 hrs by Thioflavin-T based fluorometric assay,Inhibition,O=S(=O)(c1ccccc1)n1ccc2c(OCCNCC3CCCCC3)cccc21,53.5,%,=,CHEMBL4854460
